#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)	Expansion method(s)	Biological role(s) interactor A	Biological role(s) interactor B	Experimental role(s) interactor A	Experimental role(s) interactor B	Type(s) interactor A	Type(s) interactor B	Xref(s) interactor A	Xref(s) interactor B	Interaction Xref(s)	Annotation(s) interactor A	Annotation(s) interactor B	Interaction annotation(s)	Host organism(s)	Interaction parameter(s)	Creation date	Update date	Checksum(s) interactor A	Checksum(s) interactor B	Interaction Checksum(s)	Negative	Feature(s) interactor A	Feature(s) interactor B	Stoichiometry(s) interactor A	Stoichiometry(s) interactor B	Identification method participant A	Identification method participant B
uniprotkb:P74565	uniprotkb:P28372	intact:EBI-1607997|uniprotkb:Q55351	intact:EBI-1607986	psi-mi:siga_syny3(display_long)|uniprotkb:sigA(gene name)|psi-mi:sigA(display_short)|uniprotkb:rpoD(gene name synonym)|uniprotkb:rpoD1(gene name synonym)|uniprotkb:slr0653(locus name)	psi-mi:chln_syny3(display_long)|uniprotkb:chlN(gene name)|psi-mi:chlN(display_short)|uniprotkb:slr0750(locus name)	psi-mi:MI:0018(two hybrid)	Sato et al. (2007)	pubmed:18000013	taxid:1111708(syny3)|taxid:1111708(Synechocystis sp. (strain PCC 6803 / Kazusa))	taxid:1111708(syny3)|taxid:1111708(Synechocystis sp. (strain PCC 6803 / Kazusa))	psi-mi:MI:0915(physical association)	psi-mi:MI:0469(IntAct)	intact:EBI-1608001	author score:C|intact-miscore:0.37	-	psi-mi:MI:0499(unspecified role)	psi-mi:MI:0499(unspecified role)	psi-mi:MI:0496(bait)	psi-mi:MI:0498(prey)	psi-mi:MI:0326(protein)	psi-mi:MI:0326(protein)	interpro:IPR028630|go:GO:0003677(DNA binding)|go:GO:0003700(DNA-binding transcription factor activity)|go:GO:0016987(sigma factor activity)|interpro:IPR014284(RNA polymerase sigma-70)|interpro:IPR000943(RNA polymerase sigma-70 factor)|interpro:IPR009042(RNA polymerase sigma-70 region 1.2)|interpro:IPR007627(RNA polymerase sigma-70 region 2)|interpro:IPR007624(RNA polymerase sigma-70 region 3)|interpro:IPR007630(RNA polymerase sigma-70 region 4)|interpro:IPR013325(RNA polymerase sigma factor, region 2)|interpro:IPR013324(RNA polymerase sigma factor, regions 3 and 4)|interpro:IPR012760(RNA polymerase sigma factor RpoD, C-terminal)|interpro:IPR017848(RNA polymerase sigma factor, RpoD-like, cyanobacteria)|go:GO:0006352(DNA-templated transcription, initiation)|go:GO:0005737(cytoplasm)|interpro:IPR036388	interpro:IPR000510(Nitrogenase/oxidoreductase, component 1)|interpro:IPR005970(Light-independent protochlorophyllide reductase, N subunit)|go:GO:0016730(oxidoreductase activity, acting on iron-sulfur proteins as donors)|go:GO:0019685(photosynthesis, dark reaction)|go:GO:0036068(light-independent chlorophyll biosynthetic process)|go:GO:0005524(ATP binding)|go:GO:0046872(metal ion binding)|go:GO:0051539(4 iron, 4 sulfur cluster binding)	-	-	-	-	taxid:4932(yeasx)|taxid:4932(Saccharomyces cerevisiae (Baker's yeast))	-	2008/01/14	2014/10/16	rogid:Gf9GSReOJuW7SeOCsKjoGkMd9rI1111708	rogid:g5RUAMxRw5+TRD7UT373vJMel6E1111708	intact-crc:88D237235148AA6D|rigid:Qm3it3xTLaVF2/nQmaJpcccs0s0	false	-	-	-	-	psi-mi:MI:0078(nucleotide sequence identification)	psi-mi:MI:0078(nucleotide sequence identification)
uniprotkb:P72730	uniprotkb:P74565	intact:EBI-1609894	intact:EBI-1607997|uniprotkb:Q55351	psi-mi:p72730_syny3(display_long)|uniprotkb:morR(gene name)|psi-mi:morR(display_short)	psi-mi:siga_syny3(display_long)|uniprotkb:sigA(gene name)|psi-mi:sigA(display_short)|uniprotkb:rpoD(gene name synonym)|uniprotkb:rpoD1(gene name synonym)|uniprotkb:slr0653(locus name)	psi-mi:MI:0018(two hybrid)	Sato et al. (2007)	pubmed:18000013	taxid:1111708(syny3)|taxid:1111708(Synechocystis sp. (strain PCC 6803 / Kazusa))	taxid:1111708(syny3)|taxid:1111708(Synechocystis sp. (strain PCC 6803 / Kazusa))	psi-mi:MI:0915(physical association)	psi-mi:MI:0469(IntAct)	intact:EBI-1609902	author score:C|intact-miscore:0.37	-	psi-mi:MI:0499(unspecified role)	psi-mi:MI:0499(unspecified role)	psi-mi:MI:0498(prey)	psi-mi:MI:0496(bait)	psi-mi:MI:0326(protein)	psi-mi:MI:0326(protein)	interpro:IPR003593(AAA+ ATPase, core)|interpro:IPR011703(ATPase associated with various cellular activities, AAA-3)|go:GO:0005524(ATP binding)|go:GO:0016887(ATPase activity)|interpro:IPR027417|go:GO:0005618(cell wall)	interpro:IPR028630|go:GO:0003677(DNA binding)|go:GO:0003700(DNA-binding transcription factor activity)|go:GO:0016987(sigma factor activity)|interpro:IPR014284(RNA polymerase sigma-70)|interpro:IPR000943(RNA polymerase sigma-70 factor)|interpro:IPR009042(RNA polymerase sigma-70 region 1.2)|interpro:IPR007627(RNA polymerase sigma-70 region 2)|interpro:IPR007624(RNA polymerase sigma-70 region 3)|interpro:IPR007630(RNA polymerase sigma-70 region 4)|interpro:IPR013325(RNA polymerase sigma factor, region 2)|interpro:IPR013324(RNA polymerase sigma factor, regions 3 and 4)|interpro:IPR012760(RNA polymerase sigma factor RpoD, C-terminal)|interpro:IPR017848(RNA polymerase sigma factor, RpoD-like, cyanobacteria)|go:GO:0006352(DNA-templated transcription, initiation)|go:GO:0005737(cytoplasm)|interpro:IPR036388	-	-	-	-	taxid:4932(yeasx)|taxid:4932(Saccharomyces cerevisiae (Baker's yeast))	-	2008/01/14	2014/10/16	rogid:CWTdhr7/8qfaCm2+TnDFgC1CQ1M1111708	rogid:Gf9GSReOJuW7SeOCsKjoGkMd9rI1111708	intact-crc:5A9D2E3EE74249E5|rigid:3+YlIv1OGYeuuxVKUyXgfb2miHU	false	-	-	-	-	psi-mi:MI:0078(nucleotide sequence identification)	psi-mi:MI:0078(nucleotide sequence identification)
uniprotkb:P74565	uniprotkb:P72742	intact:EBI-1607997|uniprotkb:Q55351	intact:EBI-765249|intact:EBI-1609952	psi-mi:siga_syny3(display_long)|uniprotkb:sigA(gene name)|psi-mi:sigA(display_short)|uniprotkb:rpoD(gene name synonym)|uniprotkb:rpoD1(gene name synonym)|uniprotkb:slr0653(locus name)	psi-mi:p72742_syny3(display_long)|uniprotkb:slr1098(locus name)	psi-mi:MI:0018(two hybrid)	Sato et al. (2007)	pubmed:18000013	taxid:1111708(syny3)|taxid:1111708(Synechocystis sp. (strain PCC 6803 / Kazusa))	taxid:1111708(syny3)|taxid:1111708(Synechocystis sp. (strain PCC 6803 / Kazusa))	psi-mi:MI:0915(physical association)	psi-mi:MI:0469(IntAct)	intact:EBI-1609961	author score:C|intact-miscore:0.37	-	psi-mi:MI:0499(unspecified role)	psi-mi:MI:0499(unspecified role)	psi-mi:MI:0496(bait)	psi-mi:MI:0498(prey)	psi-mi:MI:0326(protein)	psi-mi:MI:0326(protein)	interpro:IPR028630|go:GO:0003677(DNA binding)|go:GO:0003700(DNA-binding transcription factor activity)|go:GO:0016987(sigma factor activity)|interpro:IPR014284(RNA polymerase sigma-70)|interpro:IPR000943(RNA polymerase sigma-70 factor)|interpro:IPR009042(RNA polymerase sigma-70 region 1.2)|interpro:IPR007627(RNA polymerase sigma-70 region 2)|interpro:IPR007624(RNA polymerase sigma-70 region 3)|interpro:IPR007630(RNA polymerase sigma-70 region 4)|interpro:IPR013325(RNA polymerase sigma factor, region 2)|interpro:IPR013324(RNA polymerase sigma factor, regions 3 and 4)|interpro:IPR012760(RNA polymerase sigma factor RpoD, C-terminal)|interpro:IPR017848(RNA polymerase sigma factor, RpoD-like, cyanobacteria)|go:GO:0006352(DNA-templated transcription, initiation)|go:GO:0005737(cytoplasm)|interpro:IPR036388	interpro:IPR011989(Armadillo-like helical)|interpro:IPR016024(Armadillo-type fold)|interpro:IPR004155(PBS lyase HEAT-like repeat)|go:GO:0016226(iron-sulfur cluster assembly)|interpro:IPR000357(HEAT)	-	-	-	-	taxid:4932(yeasx)|taxid:4932(Saccharomyces cerevisiae (Baker's yeast))	-	2008/01/14	2014/10/16	rogid:Gf9GSReOJuW7SeOCsKjoGkMd9rI1111708	rogid:6z3tIUApSwcwu0CUi084CAbqWx81111708	intact-crc:972AD8A6287EBA28|rigid:bXYMh49HsyGlcSO6hYM5P2sMvIM	false	-	-	-	-	psi-mi:MI:0078(nucleotide sequence identification)	psi-mi:MI:0078(nucleotide sequence identification)
uniprotkb:P74565	uniprotkb:P72788	intact:EBI-1607997|uniprotkb:Q55351	intact:EBI-1610322	psi-mi:siga_syny3(display_long)|uniprotkb:sigA(gene name)|psi-mi:sigA(display_short)|uniprotkb:rpoD(gene name synonym)|uniprotkb:rpoD1(gene name synonym)|uniprotkb:slr0653(locus name)	psi-mi:p72788_syny3(display_long)|uniprotkb:slr1788(locus name)	psi-mi:MI:0018(two hybrid)	Sato et al. (2007)	pubmed:18000013	taxid:1111708(syny3)|taxid:1111708(Synechocystis sp. (strain PCC 6803 / Kazusa))	taxid:1111708(syny3)|taxid:1111708(Synechocystis sp. (strain PCC 6803 / Kazusa))	psi-mi:MI:0915(physical association)	psi-mi:MI:0469(IntAct)	intact:EBI-1610341	author score:C|intact-miscore:0.37	-	psi-mi:MI:0499(unspecified role)	psi-mi:MI:0499(unspecified role)	psi-mi:MI:0496(bait)	psi-mi:MI:0498(prey)	psi-mi:MI:0326(protein)	psi-mi:MI:0326(protein)	interpro:IPR028630|go:GO:0003677(DNA binding)|go:GO:0003700(DNA-binding transcription factor activity)|go:GO:0016987(sigma factor activity)|interpro:IPR014284(RNA polymerase sigma-70)|interpro:IPR000943(RNA polymerase sigma-70 factor)|interpro:IPR009042(RNA polymerase sigma-70 region 1.2)|interpro:IPR007627(RNA polymerase sigma-70 region 2)|interpro:IPR007624(RNA polymerase sigma-70 region 3)|interpro:IPR007630(RNA polymerase sigma-70 region 4)|interpro:IPR013325(RNA polymerase sigma factor, region 2)|interpro:IPR013324(RNA polymerase sigma factor, regions 3 and 4)|interpro:IPR012760(RNA polymerase sigma factor RpoD, C-terminal)|interpro:IPR017848(RNA polymerase sigma factor, RpoD-like, cyanobacteria)|go:GO:0006352(DNA-templated transcription, initiation)|go:GO:0005737(cytoplasm)|interpro:IPR036388	-	-	-	-	-	taxid:4932(yeasx)|taxid:4932(Saccharomyces cerevisiae (Baker's yeast))	-	2008/01/14	2014/10/16	rogid:Gf9GSReOJuW7SeOCsKjoGkMd9rI1111708	rogid:kEwzSHPOpkFMhLaYyQNBZTsQNV41111708	intact-crc:F8D0B7ECF3130CFB|rigid:ePmOkBOhm4w2oKiUPzwCZ7TFqO8	false	-	-	-	-	psi-mi:MI:0078(nucleotide sequence identification)	psi-mi:MI:0078(nucleotide sequence identification)
uniprotkb:P72862	uniprotkb:P74565	intact:EBI-1610761	intact:EBI-1607997|uniprotkb:Q55351	psi-mi:p72862_syny3(display_long)|uniprotkb:cbiH(gene name)|psi-mi:cbiH(display_short)	psi-mi:siga_syny3(display_long)|uniprotkb:sigA(gene name)|psi-mi:sigA(display_short)|uniprotkb:rpoD(gene name synonym)|uniprotkb:rpoD1(gene name synonym)|uniprotkb:slr0653(locus name)	psi-mi:MI:0018(two hybrid)	Sato et al. (2007)	pubmed:18000013	taxid:1111708(syny3)|taxid:1111708(Synechocystis sp. (strain PCC 6803 / Kazusa))	taxid:1111708(syny3)|taxid:1111708(Synechocystis sp. (strain PCC 6803 / Kazusa))	psi-mi:MI:0915(physical association)	psi-mi:MI:0469(IntAct)	intact:EBI-1610783	author score:C|intact-miscore:0.37	-	psi-mi:MI:0499(unspecified role)	psi-mi:MI:0499(unspecified role)	psi-mi:MI:0498(prey)	psi-mi:MI:0496(bait)	psi-mi:MI:0326(protein)	psi-mi:MI:0326(protein)	go:GO:0009236(cobalamin biosynthetic process)|interpro:IPR000878(Tetrapyrrole methylase)|interpro:IPR014777(Tetrapyrrole methylase, subdomain 1)|interpro:IPR014776(Tetrapyrrole methylase, subdomain 2)|interpro:IPR021745|interpro:IPR021744|interpro:IPR002750(Cobalamin (vitamin B12) biosynthesis CbiG, core)|interpro:IPR006363(Cobalamin (vitamin B12) biosynthesis CobJ/CibH, precorrin-3B C17-methyltransferase, core)|go:GO:0008168(methyltransferase activity)|interpro:IPR035996|interpro:IPR036518|interpro:IPR038029	interpro:IPR028630|go:GO:0003677(DNA binding)|go:GO:0003700(DNA-binding transcription factor activity)|go:GO:0016987(sigma factor activity)|interpro:IPR014284(RNA polymerase sigma-70)|interpro:IPR000943(RNA polymerase sigma-70 factor)|interpro:IPR009042(RNA polymerase sigma-70 region 1.2)|interpro:IPR007627(RNA polymerase sigma-70 region 2)|interpro:IPR007624(RNA polymerase sigma-70 region 3)|interpro:IPR007630(RNA polymerase sigma-70 region 4)|interpro:IPR013325(RNA polymerase sigma factor, region 2)|interpro:IPR013324(RNA polymerase sigma factor, regions 3 and 4)|interpro:IPR012760(RNA polymerase sigma factor RpoD, C-terminal)|interpro:IPR017848(RNA polymerase sigma factor, RpoD-like, cyanobacteria)|go:GO:0006352(DNA-templated transcription, initiation)|go:GO:0005737(cytoplasm)|interpro:IPR036388	-	-	-	-	taxid:4932(yeasx)|taxid:4932(Saccharomyces cerevisiae (Baker's yeast))	-	2008/01/14	2014/10/16	rogid:tvm5sfSy5iBnjD5l6LXYrO9M5MI1111708	rogid:Gf9GSReOJuW7SeOCsKjoGkMd9rI1111708	intact-crc:C4AF8CDA30130CF3|rigid:+zOmyOIkkyk+Qv1aGgtGRyTeIjs	false	-	-	-	-	psi-mi:MI:0078(nucleotide sequence identification)	psi-mi:MI:0078(nucleotide sequence identification)
uniprotkb:P74565	uniprotkb:P72974	intact:EBI-1607997|uniprotkb:Q55351	intact:EBI-1611585	psi-mi:siga_syny3(display_long)|uniprotkb:sigA(gene name)|psi-mi:sigA(display_short)|uniprotkb:rpoD(gene name synonym)|uniprotkb:rpoD1(gene name synonym)|uniprotkb:slr0653(locus name)	psi-mi:p72974_syny3(display_long)|uniprotkb:sll1516(locus name)	psi-mi:MI:0018(two hybrid)	Sato et al. (2007)	pubmed:18000013	taxid:1111708(syny3)|taxid:1111708(Synechocystis sp. (strain PCC 6803 / Kazusa))	taxid:1111708(syny3)|taxid:1111708(Synechocystis sp. (strain PCC 6803 / Kazusa))	psi-mi:MI:0915(physical association)	psi-mi:MI:0469(IntAct)	intact:EBI-1611595	author score:C|intact-miscore:0.37	-	psi-mi:MI:0499(unspecified role)	psi-mi:MI:0499(unspecified role)	psi-mi:MI:0496(bait)	psi-mi:MI:0498(prey)	psi-mi:MI:0326(protein)	psi-mi:MI:0326(protein)	interpro:IPR028630|go:GO:0003677(DNA binding)|go:GO:0003700(DNA-binding transcription factor activity)|go:GO:0016987(sigma factor activity)|interpro:IPR014284(RNA polymerase sigma-70)|interpro:IPR000943(RNA polymerase sigma-70 factor)|interpro:IPR009042(RNA polymerase sigma-70 region 1.2)|interpro:IPR007627(RNA polymerase sigma-70 region 2)|interpro:IPR007624(RNA polymerase sigma-70 region 3)|interpro:IPR007630(RNA polymerase sigma-70 region 4)|interpro:IPR013325(RNA polymerase sigma factor, region 2)|interpro:IPR013324(RNA polymerase sigma factor, regions 3 and 4)|interpro:IPR012760(RNA polymerase sigma factor RpoD, C-terminal)|interpro:IPR017848(RNA polymerase sigma factor, RpoD-like, cyanobacteria)|go:GO:0006352(DNA-templated transcription, initiation)|go:GO:0005737(cytoplasm)|interpro:IPR036388	interpro:IPR027417	-	-	-	-	taxid:4932(yeasx)|taxid:4932(Saccharomyces cerevisiae (Baker's yeast))	-	2008/01/14	2014/10/16	rogid:Gf9GSReOJuW7SeOCsKjoGkMd9rI1111708	rogid:MS7BrlmWN7xjqreKDDaOdVlyLgs1111708	intact-crc:E723018293C86142|rigid:yTdygqcDqJ8pmbtq4Z7OMlnnQwk	false	-	-	-	-	psi-mi:MI:0078(nucleotide sequence identification)	psi-mi:MI:0078(nucleotide sequence identification)
uniprotkb:P74565	uniprotkb:P73133	intact:EBI-1607997|uniprotkb:Q55351	intact:EBI-1612655	psi-mi:siga_syny3(display_long)|uniprotkb:sigA(gene name)|psi-mi:sigA(display_short)|uniprotkb:rpoD(gene name synonym)|uniprotkb:rpoD1(gene name synonym)|uniprotkb:slr0653(locus name)	psi-mi:argd_syny3(display_long)|uniprotkb:argD(gene name)|psi-mi:argD(display_short)|uniprotkb:slr1022(locus name)	psi-mi:MI:0018(two hybrid)	Sato et al. (2007)	pubmed:18000013	taxid:1111708(syny3)|taxid:1111708(Synechocystis sp. (strain PCC 6803 / Kazusa))	taxid:1111708(syny3)|taxid:1111708(Synechocystis sp. (strain PCC 6803 / Kazusa))	psi-mi:MI:0915(physical association)	psi-mi:MI:0469(IntAct)	intact:EBI-1612661	author score:C|intact-miscore:0.37	-	psi-mi:MI:0499(unspecified role)	psi-mi:MI:0499(unspecified role)	psi-mi:MI:0496(bait)	psi-mi:MI:0498(prey)	psi-mi:MI:0326(protein)	psi-mi:MI:0326(protein)	interpro:IPR028630|go:GO:0003677(DNA binding)|go:GO:0003700(DNA-binding transcription factor activity)|go:GO:0016987(sigma factor activity)|interpro:IPR014284(RNA polymerase sigma-70)|interpro:IPR000943(RNA polymerase sigma-70 factor)|interpro:IPR009042(RNA polymerase sigma-70 region 1.2)|interpro:IPR007627(RNA polymerase sigma-70 region 2)|interpro:IPR007624(RNA polymerase sigma-70 region 3)|interpro:IPR007630(RNA polymerase sigma-70 region 4)|interpro:IPR013325(RNA polymerase sigma factor, region 2)|interpro:IPR013324(RNA polymerase sigma factor, regions 3 and 4)|interpro:IPR012760(RNA polymerase sigma factor RpoD, C-terminal)|interpro:IPR017848(RNA polymerase sigma factor, RpoD-like, cyanobacteria)|go:GO:0006352(DNA-templated transcription, initiation)|go:GO:0005737(cytoplasm)|interpro:IPR036388	go:GO:0003992(N2-acetyl-L-ornithine:2-oxoglutarate 5-aminotransferase activity)|go:GO:0030170(pyridoxal phosphate binding)|go:GO:0006526(arginine biosynthetic process)|interpro:IPR004636(Acetylornithine and succinylornithine aminotransferase)|interpro:IPR005814(Aminotransferase class-III)|interpro:IPR015424(Pyridoxal phosphate-dependent transferase, major region)|interpro:IPR015421(Pyridoxal phosphate-dependent transferase, major region, subdomain 1)|interpro:IPR015422(Pyridoxal phosphate-dependent transferase, major region, subdomain 2)|go:GO:0005737(cytoplasm)|go:GO:0042802(identical protein binding)	-	-	-	-	taxid:4932(yeasx)|taxid:4932(Saccharomyces cerevisiae (Baker's yeast))	-	2008/01/14	2014/10/16	rogid:Gf9GSReOJuW7SeOCsKjoGkMd9rI1111708	rogid:kGDqo3DbkdrdkuOfvBJcwqdEvw81111708	intact-crc:58D1203985A486DA|rigid:vvGGKNEoBnhMfGXIvg52GPH+8R8	false	-	-	-	-	psi-mi:MI:0078(nucleotide sequence identification)	psi-mi:MI:0078(nucleotide sequence identification)
uniprotkb:P73448	uniprotkb:P74565	intact:EBI-1614216	intact:EBI-1607997|uniprotkb:Q55351	psi-mi:narb_syny3(display_long)|uniprotkb:narB(gene name)|psi-mi:narB(display_short)|uniprotkb:sll1454(locus name)	psi-mi:siga_syny3(display_long)|uniprotkb:sigA(gene name)|psi-mi:sigA(display_short)|uniprotkb:rpoD(gene name synonym)|uniprotkb:rpoD1(gene name synonym)|uniprotkb:slr0653(locus name)	psi-mi:MI:0018(two hybrid)	Sato et al. (2007)	pubmed:18000013	taxid:1111708(syny3)|taxid:1111708(Synechocystis sp. (strain PCC 6803 / Kazusa))	taxid:1111708(syny3)|taxid:1111708(Synechocystis sp. (strain PCC 6803 / Kazusa))	psi-mi:MI:0915(physical association)	psi-mi:MI:0469(IntAct)	intact:EBI-1614240	author score:B|intact-miscore:0.37	-	psi-mi:MI:0499(unspecified role)	psi-mi:MI:0499(unspecified role)	psi-mi:MI:0498(prey)	psi-mi:MI:0496(bait)	psi-mi:MI:0326(protein)	psi-mi:MI:0326(protein)	go:GO:0051539(4 iron, 4 sulfur cluster binding)|go:GO:0042128(nitrate assimilation)|interpro:IPR009010(Aspartate decarboxylase-like fold)|interpro:IPR006657(Molydopterin dinucleotide-binding region)|interpro:IPR006656(Molybdopterin oxidoreductase)|interpro:IPR006963(Molybdopterin oxidoreductase Fe4S4 region)|go:GO:0019333(denitrification pathway)|interpro:IPR027467|go:GO:0003954(NADH dehydrogenase activity)|go:GO:0051536(iron-sulfur cluster binding)|go:GO:0043546(molybdopterin cofactor binding)|go:GO:0046872(metal ion binding)	interpro:IPR028630|go:GO:0003677(DNA binding)|go:GO:0003700(DNA-binding transcription factor activity)|go:GO:0016987(sigma factor activity)|interpro:IPR014284(RNA polymerase sigma-70)|interpro:IPR000943(RNA polymerase sigma-70 factor)|interpro:IPR009042(RNA polymerase sigma-70 region 1.2)|interpro:IPR007627(RNA polymerase sigma-70 region 2)|interpro:IPR007624(RNA polymerase sigma-70 region 3)|interpro:IPR007630(RNA polymerase sigma-70 region 4)|interpro:IPR013325(RNA polymerase sigma factor, region 2)|interpro:IPR013324(RNA polymerase sigma factor, regions 3 and 4)|interpro:IPR012760(RNA polymerase sigma factor RpoD, C-terminal)|interpro:IPR017848(RNA polymerase sigma factor, RpoD-like, cyanobacteria)|go:GO:0006352(DNA-templated transcription, initiation)|go:GO:0005737(cytoplasm)|interpro:IPR036388	-	-	-	-	taxid:4932(yeasx)|taxid:4932(Saccharomyces cerevisiae (Baker's yeast))	-	2008/01/14	2014/10/16	rogid:2NDunWelCYt1X/UHOiKuaw3azEE1111708	rogid:Gf9GSReOJuW7SeOCsKjoGkMd9rI1111708	intact-crc:01F7DBA381B0D796|rigid:hSx2ce78Sbb0jlARAd7e6VI61uo	false	-	-	-	-	psi-mi:MI:0078(nucleotide sequence identification)	psi-mi:MI:0078(nucleotide sequence identification)
uniprotkb:P74565	uniprotkb:P73465	intact:EBI-1607997|uniprotkb:Q55351	intact:EBI-1614373	psi-mi:siga_syny3(display_long)|uniprotkb:sigA(gene name)|psi-mi:sigA(display_short)|uniprotkb:rpoD(gene name synonym)|uniprotkb:rpoD1(gene name synonym)|uniprotkb:slr0653(locus name)	psi-mi:p73465_syny3(display_long)|uniprotkb:uvrD(gene name)|psi-mi:uvrD(display_short)	psi-mi:MI:0018(two hybrid)	Sato et al. (2007)	pubmed:18000013	taxid:1111708(syny3)|taxid:1111708(Synechocystis sp. (strain PCC 6803 / Kazusa))	taxid:1111708(syny3)|taxid:1111708(Synechocystis sp. (strain PCC 6803 / Kazusa))	psi-mi:MI:0915(physical association)	psi-mi:MI:0469(IntAct)	intact:EBI-1614439	author score:D|intact-miscore:0.37	-	psi-mi:MI:0499(unspecified role)	psi-mi:MI:0499(unspecified role)	psi-mi:MI:0496(bait)	psi-mi:MI:0498(prey)	psi-mi:MI:0326(protein)	psi-mi:MI:0326(protein)	interpro:IPR028630|go:GO:0003677(DNA binding)|go:GO:0003700(DNA-binding transcription factor activity)|go:GO:0016987(sigma factor activity)|interpro:IPR014284(RNA polymerase sigma-70)|interpro:IPR000943(RNA polymerase sigma-70 factor)|interpro:IPR009042(RNA polymerase sigma-70 region 1.2)|interpro:IPR007627(RNA polymerase sigma-70 region 2)|interpro:IPR007624(RNA polymerase sigma-70 region 3)|interpro:IPR007630(RNA polymerase sigma-70 region 4)|interpro:IPR013325(RNA polymerase sigma factor, region 2)|interpro:IPR013324(RNA polymerase sigma factor, regions 3 and 4)|interpro:IPR012760(RNA polymerase sigma factor RpoD, C-terminal)|interpro:IPR017848(RNA polymerase sigma factor, RpoD-like, cyanobacteria)|go:GO:0006352(DNA-templated transcription, initiation)|go:GO:0005737(cytoplasm)|interpro:IPR036388	go:GO:0005737(cytoplasm)|go:GO:0005524(ATP binding)|go:GO:0004003(ATP-dependent DNA helicase activity)|go:GO:0003677(DNA binding)|go:GO:0006268(DNA unwinding involved in DNA replication)|interpro:IPR005751(DNA helicase, ATP-dependent, PcrA type)|interpro:IPR014017(DNA helicase, UvrD-like, C terminal)|interpro:IPR000212(DNA helicase, UvrD/REP type)|interpro:IPR014016(Helicase, superfamily 1, UvrD-related)|interpro:IPR027417|interpro:IPR034739|interpro:IPR013986(DNA helicase, DEXX box type)	-	-	-	-	taxid:4932(yeasx)|taxid:4932(Saccharomyces cerevisiae (Baker's yeast))	-	2008/01/14	2014/10/16	rogid:Gf9GSReOJuW7SeOCsKjoGkMd9rI1111708	rogid:lwz3to0V0/d55El5GHpKJuV0qVA1111708	intact-crc:61F409E4376BBA2E|rigid:w/ZkSTjlv5U9H9g+F690pyrU94E	false	-	-	-	-	psi-mi:MI:0078(nucleotide sequence identification)	psi-mi:MI:0078(nucleotide sequence identification)
uniprotkb:P73713	uniprotkb:P74565	intact:EBI-1616168	intact:EBI-1607997|uniprotkb:Q55351	psi-mi:p73713_syny3(display_long)|uniprotkb:sll1687(locus name)	psi-mi:siga_syny3(display_long)|uniprotkb:sigA(gene name)|psi-mi:sigA(display_short)|uniprotkb:rpoD(gene name synonym)|uniprotkb:rpoD1(gene name synonym)|uniprotkb:slr0653(locus name)	psi-mi:MI:0018(two hybrid)	Sato et al. (2007)	pubmed:18000013	taxid:1111708(syny3)|taxid:1111708(Synechocystis sp. (strain PCC 6803 / Kazusa))	taxid:1111708(syny3)|taxid:1111708(Synechocystis sp. (strain PCC 6803 / Kazusa))	psi-mi:MI:0915(physical association)	psi-mi:MI:0469(IntAct)	intact:EBI-1616190	author score:C|intact-miscore:0.37	-	psi-mi:MI:0499(unspecified role)	psi-mi:MI:0499(unspecified role)	psi-mi:MI:0498(prey)	psi-mi:MI:0496(bait)	psi-mi:MI:0326(protein)	psi-mi:MI:0326(protein)	go:GO:0000155(phosphorelay sensor kinase activity)|interpro:IPR000160(GGDEF)|interpro:IPR003018(GAF)|interpro:IPR001610(PAC motif)|interpro:IPR000014(PAS)|interpro:IPR000700(PAS-associated, C-terminal)|interpro:IPR013655(PAS fold-3)|interpro:IPR029016|interpro:IPR029787|go:GO:0005622(intracellular)|interpro:IPR035965	interpro:IPR028630|go:GO:0003677(DNA binding)|go:GO:0003700(DNA-binding transcription factor activity)|go:GO:0016987(sigma factor activity)|interpro:IPR014284(RNA polymerase sigma-70)|interpro:IPR000943(RNA polymerase sigma-70 factor)|interpro:IPR009042(RNA polymerase sigma-70 region 1.2)|interpro:IPR007627(RNA polymerase sigma-70 region 2)|interpro:IPR007624(RNA polymerase sigma-70 region 3)|interpro:IPR007630(RNA polymerase sigma-70 region 4)|interpro:IPR013325(RNA polymerase sigma factor, region 2)|interpro:IPR013324(RNA polymerase sigma factor, regions 3 and 4)|interpro:IPR012760(RNA polymerase sigma factor RpoD, C-terminal)|interpro:IPR017848(RNA polymerase sigma factor, RpoD-like, cyanobacteria)|go:GO:0006352(DNA-templated transcription, initiation)|go:GO:0005737(cytoplasm)|interpro:IPR036388	-	-	-	-	taxid:4932(yeasx)|taxid:4932(Saccharomyces cerevisiae (Baker's yeast))	-	2008/01/14	2014/10/16	rogid:U0tguBocljBCivNB39KhS1G55Bs1111708	rogid:Gf9GSReOJuW7SeOCsKjoGkMd9rI1111708	intact-crc:FB5B8BBE4D7FEB6C|rigid:7TH5SjYBWJUrN23Ibb/q5mpPByA	false	-	-	-	-	psi-mi:MI:0078(nucleotide sequence identification)	psi-mi:MI:0078(nucleotide sequence identification)
